Brock McGinn,Carolina Hurricanes,Left Wing,7
Troy Stecher,Vancouver Canucks,Defensemen,5
Olli Maatta,Chicago Blackhawks,Defensemen,4
Madison Bowey,Detroit Red Wings,Defensemen,3
Garnet Hathaway,Washington Capitals,Right Wing,9
Darren Helm,Detroit Red Wings,Left Wing,9
David Kampf,Chicago Blackhawks,Center,8
Blake Comeau,Dallas Stars,Left Wing,8
Michael Amadio,Los Angeles Kings,Center,6
Dillon Dube,Calgary Flames,Center,6
Colton Sceviour,Florida Panthers,Center,6
Justin Faulk,St. Louis Blues,Defensemen,5
Tucker Poolman,Winnipeg Jets,Defensemen,4
Philippe Myers,Philadelphia Flyers,Defensemen,4
Ben Hutton,Los Angeles Kings,Defensemen,4
Alec Martinez,Vegas Golden Knights,Defensemen,3
Erik Johnson,Colorado Avalanche,Defensemen,3
Mike Reilly,Ottawa Senators,Defensemen,1
Colton Sissons,Nashville Predators,Center,9
Drake Caggiula,Chicago Blackhawks,Center,9
Jordan Weal,Montreal Canadiens,Center,8
Ryan Reaves,Vegas Golden Knights,Right Wing,8
Riley Sheahan,Edmonton Oilers,Center,8
Tomas Nosek,Vegas Golden Knights,Left Wing,8
Pierre Engvall,Toronto Maple Leafs,Left Wing,8
Filip Zadina,Detroit Red Wings,Right Wing,8
Jonathan Drouin,Montreal Canadiens,Left Wing,7
Mathieu Perreault,Winnipeg Jets,Left Wing,7
Nicolas Aube-Kubel,Philadelphia Flyers,Right Wing,7
Nic Dowd,Washington Capitals,Center,7
Brian Boyle,Florida Panthers,Center,6
Marc-Edouard Vlasic,San Jose Sharks,Defensemen,5
Cody Eakin,Winnipeg Jets,Center,5
Nate Thompson,Philadelphia Flyers,Center,4
Troy Terry,Anaheim Ducks,Right Wing,4
Henri Jokiharju,Buffalo Sabres,Defensemen,4
Ryan Carpenter,Chicago Blackhawks,Center,3
Michael Del Zotto,Anaheim Ducks,Defensemen,2
Radko Gudas,Washington Capitals,Defensemen,2
Casey Cizikas,New York Islanders,Center,10
Carson Soucy,Minnesota Wild,Defensemen,7
Nick Holden,Vegas Golden Knights,Defensemen,6
Michael Frolik,Buffalo Sabres,Right Wing,6
Austin Watson,Nashville Predators,Left Wing,6
Zdeno Chara,Boston Bruins,Defensemen,5
Riley Nash,Columbus Blue Jackets,Center,5
Leo Komarov,New York Islanders,Right Wing,4
Nikolai Prokhorkin,Los Angeles Kings,Left Wing,4
Haydn Fleury,Carolina Hurricanes,Defensemen,4
Andrew Cogliano,Dallas Stars,Center,3
Andy Greene,New York Islanders,Defensemen,2
Brenden Dillon,Washington Capitals,Defensemen,1
Ryan Lindgren,New York Rangers,Defensemen,1
Carter Verhaeghe,Tampa Bay Lightning,Center,9
Antoine Roussel,Vancouver Canucks,Left Wing,7
Nicolas Deslauriers,Anaheim Ducks,Left Wing,7
Sam Lafferty,Pittsburgh Penguins,Center,6
Zach Aston-Reese,Pittsburgh Penguins,Center,6
Loui Eriksson,Vancouver Canucks,Left Wing,6
Sam Gagner,Detroit Red Wings,Center,6
Sammy Blais,St. Louis Blues,Left Wing,6
Alexandre Texier,Columbus Blue Jackets,Center,6
Scott Mayfield,New York Islanders,Defensemen,5
Victor Rask,Minnesota Wild,Center,5
Marco Scandella,St. Louis Blues,Defensemen,4
Nikita Zadorov,Colorado Avalanche,Defensemen,4
Adam Boqvist,Chicago Blackhawks,Defensemen,4
